name,fide,country,followers,joined,last_online,current_rapid_rating,highest_rapid_rating,highest_rapid_date,rapid_win,rapid_draw,rapid_loss,current_blitz_rating,highest_blitz_rating,highest_blitz_date,blitz_win,blitz_draw,blitz_loss,current_bullet_rating,highest_bullet_rating,highest_bullet_date,bullet_win,bullet_draw,bullet_loss,highest_tactics_rating,highest_tactics_date,highest_puzzle_rush_score,is_streamer,status,league
Francisco Vallejo Pons,2715,Spain,2095,2008,2023,2631,2801,2022,21,16,16,2911,3002,2022,533,127,237,2918,3024,2023,495,51,173,3087,2023,57,FALSE,premium,Crystal
Vasif Durarbayli,2711,Azerbaijan,1402,2015,2023,2609,2732,2020,75,39,49,2926,2979,2023,2693,524,2022,2939,2949,2023,579,81,420,3521,2023,67,FALSE,premium,Elite
Andrey Esipenko,2709,Russia,3041,2013,2023,2570,2878,2020,83,38,37,2938,3032,2019,1494,359,1104,2910,3144,2020,885,113,765,3411,2020,57,FALSE,premium,Crystal
Aleksandr Lenderman,2706,United States,1739,2010,2023,2560,2805,2020,176,57,37,2882,2997,2023,1733,324,518,2752,2815,2018,558,45,220,3751,2022,74,TRUE,premium,Silver
Vladislav Kovalev,2703,International,221,2017,2023,2573,2842,2020,176,89,111,2948,2966,2020,1682,403,1323,2786,2848,2022,742,113,680,3290,2019,66,FALSE,premium,Elite
Vladimir Fedoseev,2701,Samoa,3027,2016,2023,2778,2787,2023,247,103,89,3064,3174,2020,6020,1293,4130,2981,3231,2020,3694,562,3379,3726,2021,63,TRUE,premium,Crystal
Jaan Ehlvest,2701,United States,373,2011,2023,2610,2860,2020,12,4,6,2633,2737,2019,646,70,556,2404,2498,2023,1504,34,1260,2965,2012,48,FALSE,premium,Bronze
Bogdan Daniel Deac,2700,Romania,2174,2016,2023,2608,2919,2020,64,52,44,3011,3105,2022,5065,1449,3002,2879,2951,2021,700,66,513,3442,2023,66,FALSE,premium,Elite
Bassem Amin,2700,Egypt,1985,2014,2023,2510,2964,2020,14,8,12,2819,2876,2021,519,85,358,2893,2819,2020,79,7,91,3408,2023,47,FALSE,premium,Bronze
Loek van Wely,2700,Netherlands,95,2013,2023,2454,2770,2020,15,7,6,2858,2888,2022,152,34,90,2692,2580,2013,25,3,13,400,2013,40,FALSE,premium,Stone
Aleksandr Shimanov,2699,United States,665,2015,2023,2527,2801,2020,3,2,3,3014,3023,2023,3935,780,2759,3000,3066,2021,95,8,47,2217,2017,57,FALSE,premium,Bronze
Gabriel Sargissian,2699,Armenia,256,2017,2023,2468,2920,2020,15,11,8,2914,2914,2019,397,147,277,2884,2884,2021,196,31,159,3458,2023,49,FALSE,premium,Wood
Borki Predojevic,2698,Bosnia-Herzegovina,836,2014,2023,2564,2630,2018,11,1,2,2917,2917,2022,380,78,165,2885,2946,2022,168,15,106,2644,2020,44,FALSE,premium,Bronze
Pavel Vorontsov,2691,United States,197,2020,2023,2302,2465,2021,4,3,4,2633,2855,2021,311,68,232,2521,2521,2020,1,2,1,2882,2021,35,FALSE,premium,Bronze
Max Illingworth,2690,Australia,3713,2010,2023,2612,2877,2020,11,6,5,2875,2956,2020,1827,217,777,2826,3064,2020,823,74,280,3637,2023,56,FALSE,premium,Bronze
Mykhaylo Oleksiyenko,2689,Ukraine,393,2013,2023,2223,2300,2014,26,1,1,2667,2795,2023,445,75,244,2642,2642,2020,49,6,17,3876,2019,63,FALSE,premium,Wood
David Howell,2689,England,966,2016,2023,2735,2906,2020,30,9,5,3019,3046,2021,3283,528,1009,3032,3032,2021,3818,324,1276,2940,2016,59,FALSE,premium,Champion
Rauf Mamedov,2688,Azerbaijan,802,2016,2023,2673,2970,2020,9,1,3,3198,3198,2023,1656,340,948,3176,3202,2022,186,31,123,3503,2022,67,FALSE,premium,Bronze
Aleksei Sarana,2685,Serbia,2039,2014,2023,2675,2977,2020,176,104,88,3056,3135,2022,10345,1795,5850,2983,3130,2022,1728,206,1203,3719,2022,80,FALSE,premium,Elite
Peter Svidler,2683,Russia,838,2019,2023,2654,2800,2022,22,17,13,2963,3079,2020,328,103,101,2809,3053,2020,14,12,31,2200,2020,63,FALSE,premium,Stone
Jorden van Foreest,2682,Netherlands,1294,2011,2023,2688,2700,2023,47,31,52,2961,3078,2022,4991,989,4063,2881,3140,2020,3685,336,3092,3456,2023,57,FALSE,premium,Crystal
Illia Nyzhnyk,2679,United States,795,2011,2023,2590,2782,2020,25,9,7,2874,2991,2022,815,103,178,2988,3057,2022,388,37,154,3740,2023,57,FALSE,premium,Crystal
Gawain Jones,2677,United Kingdom,310,2012,2023,2552,2763,2020,29,19,17,2918,2957,2023,1221,291,569,3004,3004,2022,131,14,55,3743,2022,60,FALSE,premium,Silver
Amin Tabatabaei,2675,Iran,971,2016,2023,2740,2752,2023,109,89,62,3037,3061,2020,4083,981,3986,2939,3184,2020,2245,339,2348,4015,2022,93,FALSE,premium,Crystal
Sanan Sjugirov,2675,Russia,1660,2014,2023,2624,2894,2020,65,40,57,2949,3011,2021,4934,1106,2837,2856,2997,2021,1624,185,1100,3002,2022,59,FALSE,premium,Champion
S.L. Narayanan,2673,India,1009,2011,2023,2554,2684,2022,22,26,21,3043,3055,2020,6522,1516,4504,2956,3138,2021,2715,349,2071,3714,2020,52,FALSE,premium,Crystal
Aleksandr Rakhmanov,2670,International,495,2008,2023,2615,2615,2023,60,21,38,2853,2916,2018,907,184,395,2762,2777,2023,73,6,27,3729,2019,56,FALSE,premium,Bronze
